feedback_id,feedback_date,source,source_detail,customer_name,segment,industry,account_value,lifecycle_stage,feedback_type,feedback_theme,feedback_text,product_area,requested_feature,severity,frequency_signal,revenue_blocked,retention_risk,expansion_potential,strategic_alignment,customer_urgency,workaround_available,implementation_effort,confidence_level,owner,current_status,next_step,notes
FB-019,2026-04-18,Churn interview,Post churn note,Oakstone HR,Mid-market,HR tech,72000,Retention,Churn driver,Workflow automation,Customer churned after manual weekly exception handling stayed painful,Automation,Automated exception triage,High,Some,0,High,Low,High,High,No,High,Medium,Product,Discovery,Study churn workflow pattern,Synthetic fictional feedback
FB-020,2026-04-19,Expansion review,Seat expansion,Falcon Security,Enterprise,Cybersecurity,155000,Expansion,Expansion ask,Usage reporting,Expansion sponsor wants team usage analytics before adding teams,Reporting,Team usage analytics,High,Repeated,0,Low,High,High,High,Partial,Medium,High,Product,Candidate,Define team analytics MVP,Synthetic fictional feedback
FB-021,2026-04-20,Customer success,Reference prep,BluePeak Software,Growth,SaaS,44000,Retention,Proof signal,Customer proof,Customer achieved strong outcome and offered to be a reference,Reporting,Proof metrics export,Medium,Some,0,Low,Medium,Medium,Medium,Yes,Low,High,Customer Success,New,Capture proof metrics and quote,Synthetic fictional feedback
FB-022,2026-04-20,Sales call,Competitive objection,HelioWorks,Mid-market,Energy,66000,Sales,Objection,Sales narrative,Buyer misunderstood activation workflow and thought services were required,Onboarding,Activation proof narrative,Medium,Repeated,66000,Low,Low,Medium,Medium,Yes,Low,High,Sales,New,Rewrite sales narrative with proof,Synthetic fictional feedback
FB-023,2026-04-21,Onboarding,Implementation blocker,Summit Legal Ops,Mid-market,Legal services,85000,Onboarding,Workflow pain,Onboarding checklist,Customer stalled because owner handoff checklist was incomplete,Onboarding,Handoff checklist,High,Repeated,40000,Medium,Low,Medium,High,Yes,Low,High,Customer Success,New,Update handoff checklist,Synthetic fictional feedback
FB-024,2026-04-22,Support,Ticket cluster,Novel Foods,Growth,Food tech,36000,Support,Bug,Notification reliability,Webhook notification fails silently for failed imports,API,Failed import webhook alert,High,Some,0,Medium,Medium,High,High,No,Medium,Medium,Engineering,New,Add failure alert and retry behavior,Synthetic fictional feedback
FB-025,2026-04-23,Retention review,QBR feedback,Zenith Supply,Enterprise,Supply chain,175000,Retention,Product gap,API reliability,API rate limits block weekly planning jobs,API,Higher rate limit and retry policy,Critical,Repeated,0,High,High,High,High,No,High,High,Engineering,Candidate,Design enterprise API reliability plan,Synthetic fictional feedback
FB-026,2026-04-24,Support,Ticket pattern,Meridian Schools,Mid-market,Education,47000,Support,Support issue,Support triage,Support team receives many basic questions after release changes,Support Experience,Release change support macro,Medium,Repeated,0,Low,Low,Medium,Medium,Yes,Low,High,Support,New,Create release support macro,Synthetic fictional feedback
FB-027,2026-04-25,Sales call,Pricing review,Canyon Analytics,Growth,Data services,34000,Sales,Objection,Pricing packaging,Prospect wants lower entry price but use case is not target segment,Packaging,Lower tier package,Low,Single,0,None,Low,Low,Medium,Yes,Medium,Medium,Founder,Defer,Review only in pricing cycle,Synthetic fictional feedback
FB-028,2026-04-26,Retention review,Customer risk,Horizon Clinics,Enterprise,Healthcare,132000,Renewal,Churn driver,Admin analytics,Admins cannot see department adoption before renewal,Reporting,Department adoption dashboard,Critical,Repeated,0,Critical,Medium,High,High,No,Medium,High,Product,Discovery,Run discovery on adoption dashboard,Synthetic fictional feedback
FB-029,2026-04-27,Expansion review,New department request,Apex Robotics,Enterprise,Manufacturing,118000,Expansion,Expansion ask,Admin analytics,Expansion team wants manager adoption scorecards,Reporting,Manager adoption scorecards,High,Some,0,Low,High,High,Medium,Partial,Medium,Medium,Product,New,Validate adoption reporting package,Synthetic fictional feedback
FB-030,2026-04-28,Onboarding,Activation review,Quartz Logistics,Mid-market,Logistics,61000,Activation,Bug,Activation bug,Activation checklist marks complete before data sync succeeds,Onboarding,Activation sync verification,Critical,Repeated,61000,High,Low,High,High,No,Medium,High,Engineering,New,Fix activation completion logic,Synthetic fictional feedback
FB-031,2026-04-29,Customer success,Champion request,NovaPay Systems,Enterprise,Fintech,145000,Expansion,Expansion ask,Enterprise controls,Champion wants delegated admin before enterprise rollout,Admin,Delegated admin roles,High,Repeated,0,Low,High,High,Medium,Partial,Medium,High,Product,Candidate,Combine with enterprise controls scope,Synthetic fictional feedback
FB-032,2026-04-30,Support,Escalated ticket,Evergreen Retail,Mid-market,Retail,55000,Support,Support issue,Documentation gap,Admins ask support to explain report formulas every month,Documentation,Metric formula documentation,Medium,Repeated,0,Medium,Low,Medium,Medium,Yes,Low,High,Support,New,Publish metric formula docs,Synthetic fictional feedback
FB-033,2026-05-01,Founder observation,Repeated demos,SignalForge AI,Growth,AI services,50000,Demo,Founder signal,Customer proof,Demos improve when customers see peer workflow proof,Reporting,Customer proof library,Medium,Some,30000,Low,Medium,Medium,Medium,Yes,Low,Medium,Founder,New,Collect proof examples,Synthetic fictional feedback
FB-034,2026-05-02,Sales call,Enterprise procurement,Ironclad Manufacturing,Enterprise,Manufacturing,220000,Sales,Objection,Security export,Procurement requires audit export before signature,Admin,Audit log export,Critical,Some,220000,Medium,High,High,High,No,Medium,High,Product,New,Assess audit export with security buyers,Synthetic fictional feedback
FB-035,2026-05-03,Customer success,Usage review,Prairie Accounting,SMB,Accounting,15000,Retention,Feature request,Niche customization,Customer wants accounting-specific dashboard wording,Reporting,Accounting language pack,Low,Single,0,Low,None,Outside,Low,Yes,Low,High,Customer Success,Defer,Keep as note and do not roadmap,Synthetic fictional feedback
