priority_rank,product_area,requested_feature,decision,reason,accounts_affected,revenue_blocked,retention_risk,expansion_potential,implementation_effort,next_step,owner,due_timing
13,Permissions,Region-level admin roles,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,TerraGrid Energy,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Founder or Product,Next 14 days
14,Reporting,Team usage analytics,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Falcon Security,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Usage reporting before committing build capacity.,Founder or Product,Next 14 days
15,Admin,Delegated admin roles,Validate with customers,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,NovaPay Systems,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.,Founder or Product,Next 14 days
16,Automation,Automated exception triage,Validate with customers,Validate next priority; Some frequency; High retention risk; Low expansion potential; High effort; decision: Validate with customers,Oakstone HR,0,High,Low,High,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.,Founder or Product,Next 14 days
17,API,Failed import webhook alert,Validate with customers,Validate next priority; Some frequency; Medium retention risk; Medium expansion potential; Medium effort; decision: Validate with customers,Novel Foods,0,Medium,Medium,Medium,Run discovery with 3 to 5 accounts on Notification reliability before committing build capacity.,Founder or Product,Next 14 days
18,Integrations,CRM export templates,Validate with customers,"Validate next priority; Repeated frequency; Low retention risk; Medium expansion potential; Medium effort; $45,000 revenue blocked; decision: Validate with customers",Cloudlane Ops,45000,Low,Medium,Medium,Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.,Founder or Product,Next 14 days
19,Reporting,Manager adoption scorecards,Validate with customers,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Apex Robotics,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.,Founder or Product,Next 14 days
20,Reporting,Async report export,Validate with customers,"Validate next priority; Some frequency; Medium retention risk; Low expansion potential; Medium effort; $25,000 revenue blocked; decision: Validate with customers",Atlas Legal,25000,Medium,Low,Medium,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Founder or Product,Next 14 days
21,Reporting,Faster manager dashboard,Validate with customers,Validate next priority; Repeated frequency; Medium retention risk; Medium expansion potential; High effort; decision: Validate with customers,Luma Health,0,Medium,Medium,High,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Founder or Product,Next 14 days
22,Permissions,Department permissions,Validate with customers,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Orbit Labs,0,Low,High,Medium,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Founder or Product,Next 14 days
23,Reporting,Customer proof library,Add to roadmap candidate list,"Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; $30,000 revenue blocked; decision: Add to roadmap candidate list",SignalForge AI,30000,Low,Medium,Low,Keep Customer proof library in candidate list and review if signal repeats next cycle.,Founder,Next roadmap review
24,Reporting,Proof metrics export,Add to roadmap candidate list,Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; decision: Add to roadmap candidate list,BluePeak Software,0,Low,Medium,Low,Keep Proof metrics export in candidate list and review if signal repeats next cycle.,Customer Success,Next roadmap review
