feedback_id,feedback_theme,score_drivers,risk_drivers,decision_reason,recommended_next_action,score_interpretation
FB-002,CRM integration,priority 75.2; revenue impact 82.0; retention impact 25.0; expansion impact 60.0; strategic fit 100.0; confidence 90.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,"Validate next priority; Repeated frequency; Low retention risk; Medium expansion potential; Medium effort; $82,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-018,Workflow automation,priority 74.4; revenue impact 70.0; retention impact 55.0; expansion impact 90.0; strategic fit 100.0; confidence 60.0,Medium retention risk; High severity; Partial workaround available; Medium implementation effort,"Validate next priority; Repeated frequency; Medium retention risk; High expansion potential; Medium effort; $70,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-010,Team permissions,priority 70.0; revenue impact 0.0; retention impact 25.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-020,Usage reporting,priority 70.0; revenue impact 0.0; retention impact 25.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Usage reporting before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-004,Setup workflow,priority 69.5; revenue impact 30.0; retention impact 55.0; expansion impact 25.0; strategic fit 100.0; confidence 90.0,Medium retention risk; High severity; Partial workaround available; Medium implementation effort,"Validate next priority; Repeated frequency; Medium retention risk; Low expansion potential; Medium effort; $30,000 revenue blocked; decision: Solve with onboarding",Update onboarding flow or checklist for Setup workflow before adding product scope.,Solve with onboarding because this item is validate next with transparent weighted inputs.
FB-031,Enterprise controls,priority 67.4; revenue impact 0.0; retention impact 25.0; expansion impact 90.0; strategic fit 100.0; confidence 90.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,Validate next priority; Repeated frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Enterprise controls before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-019,Workflow automation,priority 67.3; revenue impact 0.0; retention impact 85.0; expansion impact 25.0; strategic fit 100.0; confidence 60.0,High retention risk; High severity; No workaround available; High implementation effort,Validate next priority; Some frequency; High retention risk; Low expansion potential; High effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Workflow automation before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-023,Onboarding checklist,priority 67.0; revenue impact 40.0; retention impact 55.0; expansion impact 25.0; strategic fit 65.0; confidence 90.0,Medium retention risk; High severity; Yes workaround available; Low implementation effort,"Validate next priority; Repeated frequency; Medium retention risk; Low expansion potential; Low effort; $40,000 revenue blocked; decision: Solve with onboarding",Update onboarding flow or checklist for Onboarding checklist before adding product scope.,Solve with onboarding because this item is validate next with transparent weighted inputs.
FB-024,Notification reliability,priority 64.0; revenue impact 0.0; retention impact 55.0; expansion impact 60.0; strategic fit 100.0; confidence 60.0,Medium retention risk; High severity; No workaround available; Medium implementation effort,Validate next priority; Some frequency; Medium retention risk; Medium expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Notification reliability before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-003,CRM integration,priority 63.6; revenue impact 45.0; retention impact 25.0; expansion impact 60.0; strategic fit 100.0; confidence 60.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,"Validate next priority; Repeated frequency; Low retention risk; Medium expansion potential; Medium effort; $45,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on CRM integration before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-029,Admin analytics,priority 63.5; revenue impact 0.0; retention impact 25.0; expansion impact 90.0; strategic fit 100.0; confidence 60.0,Low retention risk; High severity; Partial workaround available; Medium implementation effort,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Admin analytics before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-007,Dashboard performance,priority 62.3; revenue impact 25.0; retention impact 55.0; expansion impact 25.0; strategic fit 100.0; confidence 60.0,Medium retention risk; High severity; Partial workaround available; Medium implementation effort,"Validate next priority; Some frequency; Medium retention risk; Low expansion potential; Medium effort; $25,000 revenue blocked; decision: Validate with customers",Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-006,Dashboard performance,priority 60.8; revenue impact 0.0; retention impact 55.0; expansion impact 60.0; strategic fit 100.0; confidence 60.0,Medium retention risk; High severity; Partial workaround available; High implementation effort,Validate next priority; Repeated frequency; Medium retention risk; Medium expansion potential; High effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Dashboard performance before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-022,Sales narrative,priority 60.7; revenue impact 66.0; retention impact 25.0; expansion impact 25.0; strategic fit 65.0; confidence 90.0,Low retention risk; Medium severity; Yes workaround available; Low implementation effort,"Validate next priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; $66,000 revenue blocked; decision: Solve with sales narrative",Rewrite sales narrative and proof for Sales narrative; monitor if objection persists.,Solve with sales narrative because this item is validate next with transparent weighted inputs.
FB-011,Team permissions,priority 60.0; revenue impact 0.0; retention impact 25.0; expansion impact 90.0; strategic fit 100.0; confidence 60.0,Low retention risk; Medium severity; Partial workaround available; Medium implementation effort,Validate next priority; Some frequency; Low retention risk; High expansion potential; Medium effort; decision: Validate with customers,Run discovery with 3 to 5 accounts on Team permissions before committing build capacity.,Validate with customers because this item is validate next with transparent weighted inputs.
FB-032,Documentation gap,priority 55.2; revenue impact 0.0; retention impact 55.0; expansion impact 25.0; strategic fit 65.0; confidence 90.0,Medium retention risk; Medium severity; Yes workaround available; Low implementation effort,Watch priority; Repeated frequency; Medium retention risk; Low expansion potential; Low effort; decision: Solve with support process,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction.",Solve with support process because this item is watch with transparent weighted inputs.
FB-033,Customer proof,priority 53.8; revenue impact 30.0; retention impact 25.0; expansion impact 60.0; strategic fit 65.0; confidence 60.0,Low retention risk; Medium severity; Yes workaround available; Low implementation effort,"Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; $30,000 revenue blocked; decision: Add to roadmap candidate list",Keep Customer proof library in candidate list and review if signal repeats next cycle.,Add to roadmap candidate list because this item is watch with transparent weighted inputs.
FB-021,Customer proof,priority 53.4; revenue impact 0.0; retention impact 25.0; expansion impact 60.0; strategic fit 65.0; confidence 90.0,Low retention risk; Medium severity; Yes workaround available; Low implementation effort,Watch priority; Some frequency; Low retention risk; Medium expansion potential; Low effort; decision: Add to roadmap candidate list,Keep Proof metrics export in candidate list and review if signal repeats next cycle.,Add to roadmap candidate list because this item is watch with transparent weighted inputs.
FB-014,Documentation gap,priority 52.7; revenue impact 0.0; retention impact 25.0; expansion impact 25.0; strategic fit 65.0; confidence 90.0,Low retention risk; Medium severity; Yes workaround available; Low implementation effort,Watch priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; decision: Solve with support process,"Add support, docs, or CS playbook fix for Documentation gap; track ticket reduction.",Solve with support process because this item is watch with transparent weighted inputs.
FB-026,Support triage,priority 51.6; revenue impact 0.0; retention impact 25.0; expansion impact 25.0; strategic fit 65.0; confidence 90.0,Low retention risk; Medium severity; Yes workaround available; Low implementation effort,Watch priority; Repeated frequency; Low retention risk; Low expansion potential; Low effort; decision: Solve with support process,"Add support, docs, or CS playbook fix for Support triage; track ticket reduction.",Solve with support process because this item is watch with transparent weighted inputs.
FB-015,Training gap,priority 50.4; revenue impact 0.0; retention impact 55.0; expansion impact 25.0; strategic fit 65.0; confidence 60.0,Medium retention risk; Medium severity; Yes workaround available; Low implementation effort,Watch priority; Some frequency; Medium retention risk; Low expansion potential; Low effort; decision: Solve with onboarding,Update onboarding flow or checklist for Training gap before adding product scope.,Solve with onboarding because this item is watch with transparent weighted inputs.
FB-027,Pricing packaging,priority 33.9; revenue impact 0.0; retention impact 0.0; expansion impact 25.0; strategic fit 25.0; confidence 60.0,None retention risk; Low severity; Yes workaround available; Medium implementation effort,Defer priority; Single frequency; None retention risk; Low expansion potential; Medium effort; decision: Defer,"Defer Lower tier package until revenue, retention, or frequency signal increases.",Defer because this item is defer with transparent weighted inputs.
FB-035,Niche customization,priority 28.2; revenue impact 0.0; retention impact 25.0; expansion impact 0.0; strategic fit 0.0; confidence 90.0,Low retention risk; Low severity; Yes workaround available; Low implementation effort,Defer priority; Single frequency; Low retention risk; None expansion potential; Low effort; decision: Reject,Reject or archive Accounting language pack because fit or leverage is too low.,Reject because this item is defer with transparent weighted inputs.
FB-017,Niche customization,priority 25.4; revenue impact 0.0; retention impact 0.0; expansion impact 25.0; strategic fit 0.0; confidence 60.0,None retention risk; Low severity; Yes workaround available; Low implementation effort,Defer priority; Single frequency; None retention risk; Low expansion potential; Low effort; decision: Reject,Reject or archive Dental note template because fit or leverage is too low.,Reject because this item is defer with transparent weighted inputs.
FB-016,Niche customization,priority 22.3; revenue impact 0.0; retention impact 0.0; expansion impact 0.0; strategic fit 0.0; confidence 90.0,None retention risk; Low severity; Yes workaround available; Medium implementation effort,Defer priority; Single frequency; None retention risk; None expansion potential; Medium effort; decision: Reject,Reject or archive Custom invoice label colors because fit or leverage is too low.,Reject because this item is defer with transparent weighted inputs.
